NAME,INTERCEPT,BLACK_COEF,HISP_NPR_COEF,WHITE_COEF,HEALTH_COEF,AVG_HH_COEF,PR_COEF,BLACK_COEF_PER,HISP_NPR_COEF_PER,WHITE_COEF_PER,HEALTH_COEF_PER,AVG_HH_COEF_PER,PR_COEF_PER,ESTIMATE,LOG_CASES,LOG_DEATHS
Chenango,1.187869086,0.035687937,0.0327768,0.009591217,0.039910899,0.210828268,0.02560887,3.633,3.332,0.964,4.072,23.47,2.594,2.688188954,2.72218953,1.104145551
Richmond,1.010009318,0.006766061,0.017799748,0.013122832,0.028700521,0.393877551,0.024916399,0.679,1.796,1.321,2.912,48.272,2.523,3.481910727,3.523386139,2.358087204
Delaware,1.149723745,0.03548088,0.022968549,0.00702861,0.019163117,0.326619926,0.023316974,3.612,2.323,0.705,1.935,38.627,2.359,2.6878103,2.482316072,0.957128198
Cattaraugus,0.851208328,0.040365,0.033539794,0.008568385,0.026462372,0.308307157,0.022968768,4.119,3.411,0.861,2.682,36.112,2.323,2.499595066,2.533492434,1.021602716
Madison,1.239768478,0.029597306,0.042003629,0.010555469,0.058607035,0.142643979,0.022927594,3.004,4.29,1.061,6.036,15.332,2.319,2.738595747,2.84194731,1.103461622
Chautauqua,0.799192571,0.047451061,0.042870403,0.009005439,0.014795489,0.31068023,0.022826959,4.859,4.38,0.905,1.491,36.435,2.309,2.649554917,2.65468661,0.498310554
Washington,1.155342462,0.04251007,0.034805556,0.012804693,0.039295992,0.065110091,0.02243033,4.343,3.542,1.289,4.008,6.728,2.268,2.710737296,2.684513233,1.359266165
Onondaga,1.177479102,0.022725666,0.030463664,0.009258323,0.072244528,0.17171105,0.020939391,2.299,3.093,0.93,7.492,18.733,2.116,2.936740421,2.976730451,1.59439255
Kings,1.022755877,0.007881442,0.019499129,0.013192455,0.026699163,0.38174355,0.020800299,0.791,1.969,1.328,2.706,46.484,2.102,3.48454571,3.426063724,2.456639279
Allegany,0.908996621,0.041002963,0.024170003,0.008241024,0.025050364,0.284681687,0.019828677,4.186,2.446,0.828,2.537,32.934,2.003,2.453216876,2.36169007,0.63748973
Queens,1.048599174,0.008982524,0.01992233,0.013006855,0.025205407,0.374628156,0.018282545,0.902,2.012,1.309,2.553,45.445,1.845,3.501917162,3.505809063,2.507289031
New York,1.013909774,0.008977467,0.01999667,0.013096386,0.02660897,0.386194993,0.017647191,0.902,2.02,1.318,2.697,47.137,1.78,3.30763693,3.311527121,2.290034611
Saratoga,1.172536933,0.046914786,0.037412281,0.012892297,0.027603229,0.060613724,0.016990832,4.803,3.812,1.298,2.799,6.249,1.714,2.689949613,2.657228006,0.814913181
Otsego,1.253675292,0.042727845,0.034286726,0.010384229,0.031991371,0.151559736,0.015849959,4.365,3.488,1.044,3.251,16.365,1.598,2.737356529,2.754447723,0.827369273
Schoharie,1.187796662,0.045271711,0.03201892,0.010160684,0.017540438,0.159105758,0.015657702,4.631,3.254,1.021,1.77,17.246,1.578,2.665690685,2.43806745,0.809559715
